date,net_value
2025-08-07,2.188
2025-08-08,2.183
2025-08-11,2.185
2025-08-12,2.191
2025-08-13,2.19
2025-08-14,2.169
2025-08-15,2.191
2025-08-18,2.213
2025-08-19,2.212
2025-08-20,2.238
2025-08-21,2.236
2025-08-22,2.247
2025-08-25,2.264
2025-08-26,2.276
2025-08-27,2.241
2025-08-28,2.244
2025-08-29,2.233
2025-09-01,2.237
2025-09-02,2.22
2025-09-03,2.218
2025-09-04,2.201
2025-09-05,2.214
2025-09-08,2.247
2025-09-09,2.238
2025-09-10,2.237
2025-09-11,2.25
2025-09-12,2.245
2025-09-15,2.244
2025-09-16,2.241
2025-09-17,2.248
2025-09-18,2.229
2025-09-19,2.243
2025-09-22,2.228
2025-09-23,2.222
2025-09-24,2.241
2025-09-25,2.23
2025-09-26,2.229
2025-09-29,2.247
2025-09-30,2.249
2025-10-09,2.271
