date,net_value
2025-08-07,1.1028
2025-08-08,1.082
2025-08-11,1.0911
2025-08-12,1.1034
2025-08-13,1.1161
2025-08-14,1.1206
2025-08-15,1.1418
2025-08-18,1.1683
2025-08-19,1.1469
2025-08-20,1.2008
2025-08-21,1.1909
2025-08-22,1.2672
2025-08-25,1.271
2025-08-26,1.2751
2025-08-27,1.2863
2025-08-28,1.3305
2025-08-29,1.3053
2025-09-01,1.3202
2025-09-02,1.272
2025-09-03,1.2701
2025-09-04,1.2027
2025-09-05,1.2365
2025-09-08,1.254
2025-09-09,1.2183
2025-09-10,1.2265
2025-09-11,1.2843
2025-09-12,1.2901
2025-09-15,1.3051
2025-09-16,1.3114
2025-09-17,1.349
2025-09-18,1.3843
2025-09-19,1.3629
2025-09-22,1.4077
2025-09-23,1.4308
2025-09-24,1.522
2025-09-25,1.5362
2025-09-26,1.528
2025-09-29,1.5567
2025-09-30,1.5736
2025-10-09,1.626
